id,title,description,link,image_link,condition,availability,price,google_product_category,brand
361,"Hạt Giống Trà Xanh - 15 Hạt","Hạt Giống Trà Xanh - 15 Hạt",https://hatgionglamson.com/san-pham/hat-giong-tra-xanh-15-hat-361.html,/asset/upload/image/hat-giong-tra-xanh.jpg?v=20190410,New,"In Stock","25,000 VND",,
360,"Hạt Giống Xà Lách Tím - 1 Gram","Hạt Giống Xà Lách Tím - 1 Gram",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-tim-1-gram-360.html,/asset/upload/image/hat-giong-xa-lach-tim.jpg?v=20190410,New,"In Stock","25,000 VND",,
359,"Hạt Giống Xà Lách Xoong - 0.5 Gram","Hạt Giống Xà Lách Xoong - 0.5 Gram",https://hatgionglamson.com/san-pham/hat-giong-xa-lach-xoong-0.5-gram-359.html,/asset/upload/image/rau-xa-lach-xoong.jpg?v=20190410,New,"In Stock","25,000 VND",,
358,"Hạt Giống Bí Đỏ Da Xanh - 10 Hạt","Hạt Giống Bí Đỏ Da Xanh - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bi-do-da-xanh-10-hat-358.html,/asset/upload/image/hat-giong-bi-do-da-xanh.jpg?v=20190410,New,"In Stock","25,000 VND",,
357,"Hạt Giống Đậu Đũa Tím - 5 Gram","Hạt Giống Đậu Đũa Tím - 5 Gram",https://hatgionglamson.com/san-pham/hat-giong-dau-dua-tim-5-gram-357.html,/asset/upload/image/hat-giong-dau-dua-tim.jpg?v=20190410,New,"In Stock","25,000 VND",,
356,"Hạt Giống Rau Bồ Công Anh - 50 Hạt","Hạt Giống Rau Bồ Công Anh - 50 Hạt",https://hatgionglamson.com/san-pham/hat-giong-rau-bo-cong-anh-50-hat-356.html,/asset/upload/image/hat-giong-bo-cong-anh.jpg?v=20190410,New,"In Stock","25,000 VND",,
355,"Hạt Giống Cải Mizuna Tím - 0.5 Gram","Hạt Giống Cải Mizuna Tím - 0.5 Gram",https://hatgionglamson.com/san-pham/hat-giong-cai-mizuna-tim-0.5-gram-355.html,/asset/upload/image/cai-mizuna-tim.jpg?v=20190410,New,"In Stock","25,000 VND",,
354,"Hạt Giống Cần Tây Mĩ Khổng Lồ - 100 H","Hạt Giống Cần Tây Mĩ Khổng Lồ - 100 H",https://hatgionglamson.com/san-pham/hat-giong-can-tay-mi-khong-lo-100-h-354.html,/asset/upload/image/hat-giong-can-tay-my-khong-lo.jpg?v=20190410,New,"In Stock","25,000 VND",,
353,"Hạt Giống Cải Thìa Đỏ - 100 Hạt","Hạt Giống Cải Thìa Đỏ - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-cai-thia-do-100-hat-353.html,/asset/upload/image/cai-thia-do.jpg?v=20190410,New,"In Stock","25,000 VND",,
352,"Hạt Giống Đậu Đũa Bụi - 20 Gram","Hạt Giống Đậu Đũa Bụi - 20 Gram",https://hatgionglamson.com/san-pham/hat-giong-dau-dua-bui-20-gram-352.html,/asset/upload/image/hat-giong-dau-dua-bui.jpg?v=20190410,New,"In Stock","25,000 VND",,
351,"Hạt Giống Bắp Cải Trái Tim Ngon Ngọt - 100 Hạt","Hạt Giống Bắp Cải Trái Tim Ngon Ngọt - 100 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bap-cai-trai-tim-ngon-ngot-100-hat-351.html,/asset/upload/image/Bap-cao-trai-tim.jpg?v=20190410,New,"In Stock","25,000 VND",,
350,"Hạt Giống Dưa Leo Không Hạt Trái Ngắn - 15 Hạt","Hạt Giống Dưa Leo Không Hạt Trái Ngắn - 15 Hạt",https://hatgionglamson.com/san-pham/hat-giong-dua-leo-khong-hat-trai-ngan-15-hat-350.html,/asset/upload/image/dua-leo-khong-hat-trai-ngan.jpg?v=20190410,New,"In Stock","25,000 VND",,
349,"Hạt Giống Đậu Hà Lan Bụi Lùn - 10 Gram","Hạt Giống Đậu Hà Lan Bụi Lùn - 10 Gram",https://hatgionglamson.com/san-pham/hat-giong-dau-ha-lan-bui-lun-10-gram-349.html,/asset/upload/image/dau-ha-lan-bui-lun.jpg?v=20190410,New,"In Stock","25,000 VND",,
348,"Hạt Giống Rau Ngải Cứu - 50 Hạt","Hạt Giống Rau Ngải Cứu - 50 Hạt",https://hatgionglamson.com/san-pham/hat-giong-rau-ngai-cuu-50-hat-348.html,/asset/upload/image/hat-giong-rau-ngai-cuu.jpg?v=20190410,New,"In Stock","25,000 VND",,
347,"Hạt Giống Sả Chanh - 10 Hạt","Hạt Giống Sả Chanh - 10 Hạt",https://hatgionglamson.com/san-pham/hat-giong-sa-chanh-10-hat-347.html,/asset/upload/image/hat-giong-sa-chanh.jpg?v=20190410,New,"In Stock","25,000 VND",,
346,"Hạt Giống Bầu Tròn - 5 Hạt","Hạt Giống Bầu Tròn - 5 Hạt",https://hatgionglamson.com/san-pham/hat-giong-bau-tron-5-hat-346.html,/asset/upload/image/bau-tron.jpg?v=20190410,New,"In Stock","25,000 VND",,
